County,Facility Name,IPSL/MFL,TX CURR
Kiambu,Kagwe Dispensary,10413,80
Nyandarua,Kahembe Health Centre,10419,234
Nyeri,Kaiyaba Dispensary,10435,1
Kiambu,Kalimoni Hospital (Thika),10438,299
Murang'a,Kamahuha Dispensary,10441,8
Murang'a,Kambiti Dispensary,10445,154
Nyeri,Kamoko Health Centre,10450,2
Murang'a,Kandara Health Centre,10459,631
Kirinyaga,Kandong'u Dispensary,10461,18
Kirinyaga,Kangaita Health Centre,10462,53
Murang'a,Kangari Health Centre,10465,346
Kirinyaga,Kangaru Dispensary (Kirinyaga),10468,92
Murang'a,Kangema Sub-District Hospital,10470,819
Murang'a,Kanyenyaini Health Centre,10474,142
Nyeri,Karaba Health Centre (Nyeri South),10476,124
Nyandarua,Karangatha Health Centre,10481,84
Nyeri,Karatina District Hospital,10485,2241
Kiambu,Karatu Health Centre,10489,188
Nyeri,Karemeno Dispensary,10490,74
Kirinyaga,Karumandi Dispensary,10504,48
Kiambu,Karura (SDA) Dispensary,10506,127
Kiambu,Karuri Health Centre,10507,637
Nyandarua,Kasuku Health Centre,10509,298
Murang'a,Kenol Hospital,10512,105
Nyeri,Kenya Police College Dispensary,10517,3
Kirinyaga,Kerugoya District Hospital,10520,1764
Nyeri,Kiamabara Dispensary,10530,102
Kiambu,Kiambu District Hospital,10539,2737
Kirinyaga,Kiamutugu Health Centre,10545,159
Kirinyaga,Kiangai Dispensary,10556,22
Kirinyaga,Kianyaga Catholic Health Centre,10564,81
Kirinyaga,Kianyaga Sub-District Hospital,10565,389
Kirinyaga,Kiaragana Dispensary,10566,5
Kirinyaga,Kibirigwi Health Centre,10571,11
Kiambu,Kiganjo Dispensary,10581,1
Nyeri,Kiganjo Health Centre,10582,305
Kiambu,Kigoro Dispensary,10586,4
Kiambu,Kigumo Health Centre (Kiambu East),10587,343
Murang'a,Kigumo Health Centre (Muranga South),10588,395
Kiambu,Kihara Sub-District Hospital,10591,665
Murang'a,Kihoya Dispensary,10594,123
Kiambu,Kijabe (AIC) Hospital,10602,888
Kiambu,Kikuyu (PCEA) Hospital,10603,2044
Kirinyaga,Kimbimbi Sub-District Hospital,10609,906
Kiambu,Kinale Forest Dispensary,10613,3
Nyeri,Kinunga Health Centre,10615,62
Murang'a,Kiria Health Centre,10624,124
Murang'a,Kiria-Ini Dispensary,10625,3
Murang'a,Kiria-Ini Mission Hospital,10627,453
Murang'a,Kirogo Health Centre,10636,237
Kiambu,Kirwara Sub District,10639,732
Kirinyaga,Kiumbu Health Centre,10641,83
Kiambu,Kiunyu Dispensary,10642,8
Kirinyaga,Kutus Dispensary,10647,130
Kiambu,Lari Health Centre,10655,449
Nyandarua,Leshau Pondo Health Centre,10657,82
Kiambu,Limuru Health Centre,10661,289
Kiambu,Limuru Nursing Home,10662,29
Kiambu,Lussigetti Health Centre,10666,164
Laikipia,Maina Village Dispensary,10672,84
Murang'a,Makuyu Health Centre,10674,852
Nyandarua,Manunga Health Centre,10681,238
Murang'a,Maragua District Hospital,10686,2631
Murang'a,Maragua Ridge Health Centre,10687,73
Kiambu,Kijabe (AIC) Hospital Marira Medical Clinic,10693,1322
Kiambu,Mary Help of The Sick Hospital,10698,357
Nyeri,Mary Immaculate Hospital (Nyeri North),10700,268
Kiambu,Miguta Dispensary,10726,45
Murang'a,Mihang'o Dispensary,10727,2
Nyandarua,Mirangine Health Centre,10732,193
Kiambu,Mitubiri Dispensary,10733,142
Kirinyaga,Mt Kenya (ACK) Hospital,10738,338
Nyeri,Mt Kenya Sub-District Hospital,10739,764
Murang'a,Mugeka Dispensary,10744,210
Nyeri,Mugunda Mission Dispensary,10750,362
Murang'a,Mukurwe Dispensary,10761,1
Nyeri,Mukurweini District Hospital,10763,950
Kiambu,St Mulumba Mission Hospital,10765,1129
Kiambu,Munyu Health Centre,10774,183
Murang'a,Murang'a District Hospital,10777,2201
Kirinyaga,Murinduko Health Centre,10781,51
Murang'a,Muriranjas Sub-District Hospital,10782,630
Nyandarua,Murungaru Health Centre,10786,173
Kirinyaga,Mutithi Health Centre,10798,151
Kirinyaga,Mwea Medical Centre,10806,93
Kirinyaga,Mwea Mission (Our Lady of Lourdes) Hospital,10808,1978
Nyeri,Mweiga Health Centre,10809,134
Nyandarua,Nandarasi Dispensary,10820,51
Nyeri,Naromoru Health Centre,10822,669
Kiambu,Nazareth Hospital,10825,1726
Nyandarua,Ndaragwa Health Centre,10829,414
Kiambu,Ndeiya Health Centre,10831,125
Nyandarua,Ndemi Health Centre,10832,68
Nyandarua,New Mawingu Health Centre,10851,47
Nyandarua,New Tumaini Dispensary,10852,109
Nyandarua,Ngano Health Centre,10856,71
Kiambu,Ngenda Health Centre,10864,257
Kiambu,Ngewa Health Centre,10865,253
Kiambu,Ngoliba Health Centre,10869,596
Nyeri,Ngorano Health Centre,10870,155
Nyandarua,Ngorika Dispensary,10871,83
Kiambu,Ngorongo Health Centre,10872,181
Nyandarua,Njabini Health Centre,10878,255
Kirinyaga,Njegas Dispensary,10880,41
Nyeri,Njoki Dispensary,10884,67
Nyandarua,North Kinangop Catholic Hospital,10887,1086
Nyandarua,Nyahururu District Hospital,10890,2345
Murang'a,Nyakianga Health Centre,10893,245
Kiambu,Nyathuna Sub District Hospital,10895,145
Nyeri,Nyeri Provincial General Hospital (PGH),10903,2327
Nyeri,Nyeri Town Health Centre,10905,284
Nyandarua,Olborosat Dispensary,10911,40
Nyandarua,Old Mawingu Health Centre,10912,65
Nyandarua,Olkalou Sub-District Hospital,10916,1376
Nyeri,Othaya Sub-District Hospital,10922,1270
Nyeri,Outspan Hospital,10924,277
Kiambu,Plainsview Nursing Home,10940,15
Kiambu,Ruiru Sub-District Hospital,10973,2479
Kiambu,Ruiru Hospital Limited,10974,7
Kirinyaga,Rukanga Dispensary,10975,16
Murang'a,Sabasaba Health Centre,10987,348
Kiambu,Sacred Heart Dispensary,10988,593
Kirinyaga,Sagana Rural Health Demonstration Centre,10994,755
Nyandarua,Shamata Health Centre,11004,136
Nyandarua,Silibwet Health Centre (Nyandaruawest),11009,113
Kiambu,St Charles Lwanga Dispensary,11030,369
Kiambu,St Joseph Catholic Dispensary (Ruiru),11041,328
Nyandarua,St Mathews and Sarah Dispensary,11059,45
Kirinyaga,St Teresa Catholic Dispensary,11069,359
Nyandarua,Subuku Dispensary (Nyandarua North),11076,46
Nyeri,Thangathi Health Centre,11090,114
Kirinyaga,Thiba Health Centre,11092,183
Kiambu,Thigio Dispensary (Kiambu West),11093,309
Kiambu,Thika Level 5 Hospital,11094,4436
Kiambu,Thika Nursing Home,11097,138
Kiambu,Tigoni District Hospital,11104,1027
Nyeri,Tumutumu (PCEA) Hospital,11124,1840
Kirinyaga,Ucheru Community Health Centre,11130,33
Kiambu,Uthiru Dispensary,11141,162
Nyeri,Wamagana Health Centre,11161,338
Kiambu,Wangige Health Centre,11170,582
Nyandarua,Wanjohi Health Centre,11173,217
Kiambu,Warazo Medical Clinic (Ruiru),11175,15
Nyeri,Warazo Rural Health Centre,11176,188
Nyandarua,Weru Health Centre (Nyandarua South),11183,31
Kilifi,Danisa Dispensary,11196,11
Kilifi,Adu Dispensary,11198,68
Mombasa,Al Farooq Hospital,11208,70
Kilifi,Amani Medical Clinic (Kilifi),11217,34
Kilifi,Bamba Sub-District Hospital,11237,365
Kilifi,Bamba Medical Clinic,11238,20
Mombasa,Bamburi Dispensary,11240,640
Mombasa,Bamburi Medicare,11240,15
Mombasa,Baobab Clinic,11243,50
Kilifi,Baolala Dispensary,11244,100
Kilifi,Baricho Dispensary,11248,14
Kwale,Bofu Dispensary,11253,14
Mombasa,Bokole Dispensary (CDF),11254,217
Kilifi,Bomani Dispensary,11255,30
Kilifi,Bombi Dispensary,11256,1
Mombasa,Bomu Medical Hospital (Changamwe),11258,12182
Mombasa,Bomu Medical Centre (Likoni),11259,5079
Taita Taveta,Buguta Health Centre,11262,129
Taita Taveta,Bura Dispensary Taita,11263,66
Tana River,Bura Health Centre (Now Bura District Hospital),11264,106
Taita Taveta,St.Joseph Bura Mission Dispensary,11265,110
Kilifi,Bwagamoyo Dispensary,11266,36
Mombasa,Ganjoni,11273,608
Mombasa,Chaani (MCM) Dispensary,11274,274
Taita Taveta,Challa Dispensary,11278,68
Kilifi,Chasimba Health Centre,11282,285
Kilifi,Chumani Medical Clinic,11288,27
Mombasa,Coast Provincial General Hospital (PGH),11289,5063
Kilifi,Cowdray Dispensary,11293,18
Kilifi,Dagamra Dispensary,11297,14
Taita Taveta,Danson Mwanyumba Dispensary,11300,30
Mombasa,King'orani Prison Dispensary,11303,91
Kwale,Diani Health Centre,11304,714
Kilifi,Dida Dispensary,11305,79
Mombasa,Dr Safdar S Saeed Clinic,11352,28
Kilifi,Dzikunze Dispensary,11359,30
Taita Taveta,Divine Mercy Eldoro (Catholic) Dispensary,11365,65
Tana River,St Raphael Health Centre,11366,36
Kwale,Eshu Dispensary,11368,37
Mombasa,Family Medical Centre (Mombasa),11372,22
Lamu,Faza Health Centre,11373,24
Kilifi,Gahaleni Dispensary,11380,7
Kilifi,Ganda Disp,11382,82
Kilifi,Ganze Health Centre,11383,210
Kilifi,Garashi Dispensary,11384,111
Tana River,Garsen Health Centre,11385,131
Kilifi,Gede Health Centre,11387,637
Taita Taveta,Ghazi Dispensary,11390,27
Mombasa,Shimo Annex,11393,197
Kilifi,GK Prison,11394,158
Mombasa,Shimo-La Tewa Health Centre (GK Prison),11395,595
Tana River,GK Prisons Dispensary (Tana River),11398,11
Kwale,Godo Dispensary,11400,58
Kilifi,Gongoni Health Centre,11401,522
Kilifi,Gotani Dispensary,11404,139
Lamu,Hindi Dispensary,11409,111
Tana River,Hola District Hospital,11411,216
Lamu,Hongwe Catholic Dispensary,11412,35
Tana River,Idsowe Dispensary,11418,27
Mombasa,Jaffery Medical Clinic,11423,13
Mombasa,Jambo Medical Clinic,11425,32
Kilifi,Jaribuni Dspensary,11430,41
Kilifi,Jilore Dispensary,11433,5
Mombasa,Jocham Hospital,11434,186
Mombasa,Jomvu Model Health Centre,11436,322
Mombasa,Jordan Medical Clinic,11439,7
Mombasa,Joy Medical Clinic (Changamwe),11440,16
Mombasa,Judy Medical Clinic,11442,2
Kilifi,Junju Dispensary,11444,46
Kilifi,Kadzinuni Dispensary,11447,19
Kwale,Kafuduni Dispensary,11448,39
Kilifi,Kakoneni Dispensary,11452,15
Kilifi,Kakuyuni Dispensary,11453,195
Taita Taveta,Kasigau Health Centre,11455,81
Taita Taveta,Kighangachinyi Dispensary,11463,5
Kwale,Kibandaongo Dispensary,11464,0
Kwale,Kibuyuni,11466,11
Kwale,Kichakasimba dispensary,11467,0
Taita Taveta,Kighombo Dispensary,11469,5
Kwale,Kikoneni Health Centre,11472,361
Kwale,Kilibasi Dispensary,11473,55
Kilifi,Kilifi District Hospital,11474,2295
Kwale,Kilimangodo Dispensary,11476,67
Taita Taveta,Kimorigho Dispensary,11477,28
Kwale,Kinagoni Dispensary,11479,9
Kwale,Kinango Hospital,11480,746
Tana River,Kipini Health Centre,11484,140
Taita Taveta,Kishushe Dispensary,11488,12
Mombasa,Kisimani Health Services,11489,36
Taita Taveta,Kitobo Dispensary,11490,82
Kwale,Kizibe Dispensary,11495,73
Lamu,Kizingitini Dispensary,11496,10
Kilifi,Kizingo Health Center,11497,17
Mombasa,Kongowea Health Centre,11499,1217
Kwale,Kwale Sub District Hospital,11507,479
Taita Taveta,Kwamnengwa Dispensary,11508,42
Lamu,Lamu District Hospital,11512,273
Mombasa,Likoni Catholic Clinic,11520,545
Mombasa,Likoni Sub-District Hospital,11522,1845
Kwale,Lukore Dispensary,11525,19
Kwale,Lungalunga Dispensary,11526,258
Kwale,Lutsangani Dispensary,11527,81
Kwale,Mackinnon Road Dispensary,11531,67
Kilifi,Madamani Dispensary,11532,39
Tana River,Madogo Health Centre,11533,106
Kilifi,Madunguni Dispensary,11534,44
Kwale,Mafisini Dispensary,11536,0
Kwale,Magodzoni Dispensary,11537,76
Mombasa,Magongo (MCM) Dispensary,11538,621
Kwale,Majimoto Dispensary,11543,9
Kwale,Majoreni Dispensary,11544,6
Kwale,Makamini Dispensary,11545,19
Tana River,Makere Dispensary,11548,17
Taita Taveta,Mwaktau Dispensary,11549,29
Kilifi,AIC Malanga,11553,114
Kilifi,Malindi District Hospital,11555,2752
Kwale,Mamba Dispensary,11558,6
Kilifi,Mambrui Dispensary,11559,159
Taita Taveta,Manyani Dispensary,11561,50
Kilifi,Marafa Health Centre,11562,138
Kilifi,Marereni Dispensary,11563,258
Lamu,Maria TWH,11565,13
Kilifi,Mariakani District Hospital,11566,1003
Kilifi,Marikebuni Dispensary,11571,81
Taita Taveta,Marungu Health Centre,11572,72
Taita Taveta,Mata Dispensary,11577,16
Kilifi,Matolani Dispensary,11578,7
Kilifi,Matsangoni Health Center,11580,324
Kwale,Matuga Dispensary,11581,16
Kwale,Mazeras Dispensary,11585,317
Tana River,Maziwa Dispensary,11586,7
Kwale,Mazumzlume,11587,23
Taita Taveta,Mbale Health Centre,11589,53
Kwale,Mbunguni Dispensary,11590,15
Mombasa,Mbuta Model Health Centre,11592,104
Kwale,Mbuwani Dispensary,11593,8
Mombasa,Mewa Hospital,11600,608
Taita Taveta,Mgange Dawida Dispensary,11602,4
Taita Taveta,Mgange Nyika Dispensary,11603,59
Taita Taveta,Miasyeni Dispensary,11605,33
Kilifi,Midoina Dispensary,11609,19
Kilifi,Mijomboni Dispensary,11610,49
Mombasa,Mikiindani (MCM) Health Centre,11613,703
Mombasa,Mikindani Catholic Dispensary,11614,1237
Mombasa,Mikindani Medical Clinic,11615,61
Kilifi,Mirihini Dispensary,11618,14
Mombasa,Miritini Dispensary (CDF),11620,271
Kwale,St Joseph Mivumoni,11624,32
Kwale,Mkang'ombe Dispensary,11627,16
Kwale,Mkongani Dispensary,11629,139
Kwale,Mkundi Dispensary,11630,9
Lamu,Mkunumbi Disp,11631,26
Kwale,Mkwiro Dispensary,11633,0
Mombasa,Mlaleo Health Centre,11634,29
Kilifi,Mnarani Dispensary,11636,40
Tana River,Mnazini Dispensary,11637,18
Kwale,Mnyenzeni Disp,11638,58
Taita Taveta,Moi District Hospital Voi,11641,848
Lamu,Mokowe Health Centre,11642,36
Mombasa,Mombasa Hospital,11643,39
Lamu,Mpeketoni Sub District Hospital,11649,403
Taita Taveta,Mpizinyi Health Centre,11650,19
Kwale,Mrima Catholic,11651,52
Kilifi,Muryachakwe Dispensary,11653,2
Kwale,Msambweni District Hospital,11655,723
Mombasa,Msikiti Noor Medical Clinic,11657,3
Kwale,Msulwa Dispensary,11658,11
Kilifi,Msumarini Dispensary,11659,53
Kwale,Mtaa Dispensary,11662,8
Kilifi,Mtepeni Dispensary,11666,38
Kilifi,Mtondia Dispensary,11667,73
Kilifi,Mtwapa Health Center,11672,1924
Kilifi,Mtwapa Nursing Home,11673,70
Kwale,Muhaka,11676,24
Kilifi,Municipal Health Centre,11677,616
Mombasa,Mvita Dispensary,11679,221
Kwale,Mwabila Dispensary,11681,18
Kwale,Mwachinga Medical Clinic,11682,10
Kwale,Mwaluphamba Dispensary,11684,90
Kwale,Mwaluvanga Dispensary,11685,5
Taita Taveta,Mwambirwa Sub-District Hospital,11686,41
Kwale,Mwanda Dispensary-Kinango,11687,42
Kilifi,Mwangatini Dispensary,11689,12
Kwale,Mwangulu Dispensary,11691,122
Kwale,Mwapala Dispensary,11693,4
Taita Taveta,Mwatate Sub- District Hospital,11695,478
Kwale,Ndavaya Dispensary,11701,101
Taita Taveta,Ndilidau Dispensary,11702,65
Taita Taveta,Ndome Dispensary (Taita),11704,5
Taita Taveta,Ndovu Health Centre,11705,198
Tana River,Ngao District Hospital,11711,98
Kwale,Ngathini,11712,27
Kilifi,Ngerenya Dispensary,11713,117
Kwale,Ngombeni Dispensary,11714,116
Kilifi,Ngomeni Dispensary,11715,31
Taita Taveta,Njukini Health Centre,11718,133
Kilifi,Nuru Health Care Centre,11719,1
Taita Taveta,Nyache Health Centre,11720,52
Mombasa,AAR Nyali Health Care,11721,10
Mombasa,NYS Dispensary (Likoni),11723,13
Tana River,Oda Dispensary,11725,35
Lamu,Pablohorstman,11729,49
Kilifi,Palakumi Dispensary,11730,28
Kilifi,Pingilikani Dispensary,11738,34
Mombasa,Port Reitz District Hospital,11740,1946
Tana River,Pumwani Dispensary,11744,7
Kilifi,Rabai Health Centre,11748,427
Kilifi,Rea Vipingo Dispensary,11755,23
Kilifi,Roka Maweni Dispensary,11758,29
Kilifi,Royal Health Care,11759,7
Kilifi,Sabaki Dispensary,11761,17
Taita Taveta,Sagala Health Centre,11764,59
Mombasa,Samba Medical Clinic,11767,2
Kwale,Samburu Health Centre,11768,245
Mombasa,Sau Health Services,11771,16
Mombasa,Sayyida Fatimah Hospital,11774,194
Mombasa,Skans Health Care Centre,11775,4
Tana River,Semikaro Dispensary,11778,19
Lamu,Shella Disp,11784,12
Mombasa,Shika Adabu Dispensary,11785,292
Kwale,Shimba Hills Health Centre,11787,135
Kwale,Shimoni Dispensary,11789,85
Kwale,Silaloni Dispensary,11794,12
Kilifi,Sokoke Dispensary,11802,20
Kilifi,Sosoni Dispensary,11805,48
Mombasa,St Hillarias Medical Clinic,11816,42
Taita Taveta,St Joseph's Shelter of Hope,11817,539
Kilifi,St Luke's (ACK) Hospital Kaloleni,11818,1247
Kilifi,St. Teresa's Dispensary,11826,4
Mombasa,St Valeria Medical Clinic,11828,61
Kilifi,Star Hospital,11829,38
Kwale,Star of Good Hope Medical Clinic,11830,57
Mombasa,State House Dispensary (Mombasa),11831,216
Kilifi,Takaungu Dispensary,11836,102
Kwale,Taru Health Centre,11838,178
Taita Taveta,Tausa Health Centre,11839,31
Taita Taveta,Taveta District Hospital,11840,624
Kilifi,Tawfiq Muslim Hospital,11843,207
Kilifi,Chamalo Medical Clinic,11845,9
Kilifi,Timboni Community Dispensary,11851,832
Kwale,Tiwi Health Centre,11853,404
Mombasa,Tononoka Administration Police Dispensary & VCT,11854,98
Kilifi,Tsangatsini Dispensary,11859,44
Mombasa,Tudor District Hospital (Mombasa),11861,1790
Mombasa,Tudor Health Care,11862,29
Kwale,Ukunda Diani Catholic Dispensary,11867,154
Mombasa,Utange Dispensary,11873,82
Kwale,Vanga Health Centre,11879,139
Kwale,Vigurungani Dispensary,11880,125
Kilifi,Vipingo Health Centre,11881,548
Kilifi,Vitengeni Dispensary,11883,147
Kwale,Vitsangalaweni,11884,221
Kwale,Vyogwani Dispensary,11887,18
Kwale,Waa Dispensary,11888,129
Kilifi,Watamu Community Health Care,11894,18
Kilifi,Watamu Dispensary,11895,14
Kilifi,Watamu Maternity and Nursing Home,11896,63
Kilifi,Watamu Hospital,11897,1
Tana River,Wema Catholic Dispensary,11901,24
Mombasa,Wema Centre Medical Clinic,11902,1095
Tana River,Wenje Dispensary,11903,10
Mombasa,Westlands Health Care Services,11905,20
Taita Taveta,Wesu District Hospital,11906,246
Lamu,Witu Health Centre,11907,208
Taita Taveta,Wundanyi Sub District Hospital,11908,193
Meru,Akachiu Health Centre,11923,93
Machakos,Approved School Dispensary,11932,39
Isiolo,Apu Dispensary,11933,136
Machakos,Athi River Health Centre,11936,1594
Marsabit,Badassa Dispensary,11940,9
Tharaka Nithi,Baragu Health Centre,11942,82
Machakos,Bishop Kioko Catholic Hospital,11955,357
Isiolo,Bulesa Dispensary,11957,15
Marsabit,Butiye Dispensary,11958,8
Makueni,Kambu Catholic Dispensary,11962,227
Tharaka Nithi,Chogoria (PCEA) Hospital,11970,2783
Meru,Chugu Dispensary,11971,28
Tharaka Nithi,Chuka District Hospital,11973,1108
Kitui,Chuluni Dispensary,11974,264
Meru,Consolata Hospital (Nkubu),11976,2181
Machakos,Daniel Comboni Dispensary-Ndithini,11981,180
Marsabit,Dabel Health Centre (Moyale),11982,10
Marsabit,Dakabaricha Dispensary,11983,6
Embu,Dallas Dispensary,11984,194
Marsabit,Dirib Gombo Dispensary,11986,28
Marsabit,Dukana Health Centre (North Horr),11990,11
Machakos,Ekalakala Health Centre,11995,456
Embu,Embu Provincial General Hospital,12004,2279
Kitui,Endau Dispensary,12008,102
Isiolo,Eremet Dispensary,12012,13
Meru,Family Care Medical Centre (Meru),12015,154
Isiolo,Gafarsa Health Centre,12025,8
Meru,Gakoromone Dispensary,12027,133
Isiolo,Garbatulla District Hospital,12029,49
Marsabit,Gatab Health Centre,12030,13
Meru,Gatimbi Health Centre,12031,160
Meru,Giaki Sub-District Hospital,12036,138
Meru,Githongo District Hospital,12041,334
Meru,Gitoro Dispensary,12044,60
Embu,GK Prison Dispensary (Embu),12045,97
Isiolo,GK Prison Dispensary (Isiolo),12046,138
Machakos,GK Prison Dispensary (Machakos),12048,147
Meru,GK Prison Dispensary (Meru),12049,141
Meru,Igoki Dispensary,12071,57
Kitui,Ikanga Sub-District Hospital,12077,339
Machakos,Ikombe Disp,12078,222
Kitui,Ikutha Health Centre,12080,367
Kitui,Inyuu Dispensary,12091,152
Isiolo,AIC Dispensary (Isiolo),12093,46
Isiolo,Isiolo District Hospital,12094,1516
Makueni,Iuani Health Centre,12102,10
Tharaka Nithi,Kajuki Health Centre,12132,94
Kitui,Kakaeni Dispensary(Kakeani),12134,105
Makueni,Kako Dispensary,12135,40
Machakos,Kalama Dispensary,12144,38
Machakos,Kalandini Dispensary,12146,74
Makueni,Kalawa Health Centre,12147,369
Makueni,Kali Dispensary,12149,127
Makueni,Kaliani Health Centre,12150,44
Kitui,Kaliku Dispensary,12151,6
Kitui,Kalimani Disensary,12153,29
Makueni,Kalulini Health Centre,12156,57
Tharaka Nithi,Kambandi Dispensary,12162,15
Embu,Kamumu Dispensary,12164,31
Kitui,Kamutei Health Centre,12166,98
Machakos,Kamuthanga Dispensary,12167,66
Kitui,Kamuwongo Dispensary,12169,212
Meru,Kangeta Health Centre,12174,271
Machakos,Kangundo District Hospital,12177,1947
Embu,Kanja Health Centre,12179,95
Meru,Kanyakine District Hospital,12181,554
Kitui,Kanyangi Sub-District Hospital,12184,271
Kitui,Kanyunga Health Centre,12186,76
Kitui,Kanziku Health Centre,12190,93
Makueni,Kanzokea Health Centre,12191,118
Meru,Kaongo Health Centre,12192,107
Embu,Karau Health Centre,12198,106
Marsabit,Kargi Dispensary,12199,4
Embu,Karurumo Rhtc,12203,270
Kitui,Kasaala Health Centre,12204,132
Makueni,PCEA Kasasule,12205,39
Makueni,Kasikeu Dispensary ,12208,119
Kitui,Kasunguni Dispensary,12210,15
Kitui,AIC Katakani Dispensary,12213,34
Machakos,Katangi Health Centre,12215,539
Machakos,Kathiani District Hospital,12230,748
Meru,Kathithi Dispensary,12234,62
Makueni,Kathonzweni Health Center,12236,465
Makueni,Kathulumbi Dispensary,12238,85
Makueni,Kathyaka Dispensary,12240,35
Kitui,Katilini Health Cetre,12241,53
Kitui,Katse Health Centre,12242,177
Machakos,Katulani Health Centre,12244,131
Kitui,Katutu Dispensary,12249,18
Kitui,Katyethoka Dispensary,12251,91
Kitui,Kauma Dispensary,12252,19
Kitui,Kauwi Sub-District Hospital,12255,689
Makueni,Kavata Nzou Dispensary,12256,12
Machakos,Kaviani Health Centre,12257,252
Kitui,Kavuta Dispensary,12262,21
Makueni,Kavuthu Health Centre,12263,89
Embu,Kiambere Dam Dispensary,12271,134
Tharaka Nithi,Kiamuchairu Health Centre,12272,9
Embu,Kiamuringa Dispensary,12274,50
Tharaka Nithi,Kiangondu Dispensary,12277,40
Embu,Kianjokoma Sub-District Hospital,12279,344
Meru,Kibirichia Sub-District Hospital,12282,114
Makueni,Kiboko Dispensary,12286,45
Embu,Kibugu Health Centre,12287,199
Tharaka Nithi,Kibugua Health Centre,12288,234
Tharaka Nithi,Kibunga Sub-District Hospital,12289,45
Meru,Kiburine Dispensary,12290,41
Makueni,Kibwezi Sub District Hospital,12291,1462
Meru,Kieni Kia Ndege Dispensary,12296,84
Embu,Kigumo Dispensary,12300,33
Meru,Kiirua Dispensary,12302,111
Meru,St Theresa Kiirua Hospital (Kiirua),12303,567
Machakos,Kikesa Dispensary,12305,63
Makueni,Kikoko Mission Hospital,12306,348
Makueni,Kikumini Health Centre,12308,206
Makueni,Kilala Health Centre,12309,228
Makueni,Kilili Dispensary,12312,96
Makueni,Kilungu Sub-District Hospital,12314,594
Machakos,Kimutwa Health Centre,12317,52
Meru,Kina Dispensary,12319,187
Machakos,Kinanie Dispensary,12321,68
Isiolo,Kinna Health Centre,12323,144
Meru,Kinoro Sub-District Hospital,12325,102
Meru,Kinoru Dispensary,12326,209
Meru,Kionyo Dispensary (Imenti South),12328,41
Embu,Kirie Dispensary,12333,33
Kitui,Kisasi Health Center,12340,551
Makueni,Kisau Sub District Hospital,12341,401
Machakos,Kisiiki Dispensary,12347,169
Machakos,Kithimani Dispensary,12357,194
Embu,Kithimu Dispensary,12359,76
Makueni,Kithuki Health Centre,12360,58
Machakos,Kithyoko Health Centre,12362,350
Makueni,Kitise Health Centre,12365,250
Kitui,Kitui District Hospital,12366,2300
Machakos,Kivaa Health Centre,12375,448
